"title_data","paper_id","source","type","year","author1_data","keyword"
"Inspection Planning Using Genetic Algorithm For Fatigue Deteriorating Structure","          I-98-365 ","          ISOPE ","          Conference Paper",1998,"Kim, Sung Chan, Samsung Heavy Industries Co. Ltd.","'machine+learning'AND'production'"
"Towards a Computational Tool For the Synthesis And Optimization of Submarine Pipeline Routes","          I-10-521 ","          ISOPE ","          Conference Paper",2010,"Vieira, Ian Nascimento, COPPE/UFRJ – Post-Graduate Institute of the Federal University of Rio de Janeiro, Civil Engineering Department","'machine+learning'AND'production'"
"Optimising Gas Injection in Carbonate Reservoirs Using High-Resolution Outcrop Analogue Models","          166061-MS ","          SPE ","          Conference Paper",2013,"Agada, Simeon, Heriot-Watt University","'machine+learning'AND'production'"
"Reservoir Simulation Using Smart Proxy in SACROC Unit - Case Study","          184069-MS ","          SPE ","          Conference Paper",2016,"He, Qin, Saint Francis University","'machine+learning'AND'production'"
"Application of an Evolutionary Algorithm in Well Test Characterization of Naturally Fractured Vuggy Reservoirs","          103931-MS ","          SPE ","          Conference Paper",2006,"Gomez, Susana, U Nacional Autonoma de Mexico","'machine+learning'AND'production'"
"Experimental and Numerical Investigation of Draught and Trim Effects on the Energy Efficiency of a Displacement Mono-Hull","          I-16-430 ","          ISOPE ","          Conference Paper",2016,"Altosole, Marco, Telecommunications Engineering and Naval Architecture","'machine+learning'AND'production'"
"Applying Artificial Intelligence Techniques to Develop Permeability Predictive Models using Mercury Injection Capillary-Pressure Data","          168109-MS ","          SPE ","          Conference Paper",2013,"Nooruddin, Hasan A., Saudi Aramco","'machine+learning'AND'production'"
"Unconfined Compressive Strength Prediction from Petrophysical Properties and Elemental Spectroscopy Using Support-Vector Regression","          188077-MS ","          SPE ","          Conference Paper",2017,"Negara, Ardiansyah, Baker Hughes","'machine+learning'AND'production'"
"A Bayesian Approach To Mitigate Parameter Uncertainty In Carbon Dioxide Sequestration Models","          2013-221 ","          ARMA ","          Conference Paper",2013,"Sarkarfarshi, M., University of Waterloo","'machine+learning'AND'production'"
"Application of Artificial Intelligence on Black Shale Lithofacies Prediction in Marcellus Shale, Appalachian Basin","          1935021-MS ","          URTEC ","          Conference Paper",2014,"Wang, Guochang, University of Chinese Academy of Sciences","'machine+learning'AND'production'"
"The Characterization of Drilling Operations and Their Representation in Relational Databases","          24429-MS ","          SPE ","          Conference Paper",1992,"Brannigan, J.C., Marathon Oil Co.","'machine+learning'AND'production'"
"Data Driven Approaches to Designing Large Open Pit Slopes – Lessons from Engineering Geology","          2016-224 ","          ARMA ","          Conference Paper",2016,"Kaunda, R. B., Colorado School of Mines","'machine+learning'AND'production'"
"Advanced Tools For Improving the Profitability of Pipeline Operations","          0010 ","          PSIG ","          Conference Paper",2000,"Brooksbank, Bill, Honeywell","'machine+learning'AND'production'"
"Dynamic Data Integration and Quantification of Prediction Uncertainty Using Statistical Moment Equations","          119138-MS ","          SPE ","          Conference Paper",2009,"Likanapaisal, Pipat, Stanford University","'machine+learning'AND'production'"
"Application of Statistical Proxies to Speed Up Field Development Optimization Procedures","          117323-MS ","          SPE ","          Conference Paper",2008,"Onwunalu, Jerome Emeka, Stanford University","'machine+learning'AND'production'"
"Cloud-Based Data Management in Oil and Gas Fields: Advances, Challenges, and Opportunties","          167882-MS ","          SPE ","          Conference Paper",2014,"Bello, Oladele, Baker Hughes","'machine+learning'AND'production'"
"Dipole Shear Anisotropy Using Logging-While-Drilling Sonic Tools","          2016-PPPP ","          SPWLA ","          Conference Paper",2016,"Wang, Pu, Schlumberger","'machine+learning'AND'production'"
"An Experimental Study and Genetic Algorithm (GA) Correlation to Explore the Effect of nC5 on Impure CO2 Minimum Miscibility Pressure (MMP)","          101036-MS ","          SPE ","          Conference Paper",2006,"Bon, Johannes, U. of Adelaide","'machine+learning'AND'production'"
"A Study on the Development of Prognosis System for Offshore Plant Equipment","          I-15-042 ","          ISOPE ","          Conference Paper",2015,"Cho, SangJe, Hongik University","'machine+learning'AND'production'"
"Novel Approach to Predict Potentiality of Enhanced Oil Recovery","          99261-MS ","          SPE ","          Conference Paper",2006,"Hou, Jian, China U. of Petroleum","'machine+learning'AND'production'"
"Impact of Anisotropy Induced by Shale Lamination and Natural Fractures on Drilling, Completion, and Fracturing Design","          2671454-MS ","          URTEC ","          Conference Paper",2017,"Gu, Ming, West Virginia University","'machine+learning'AND'production'"
"A Risk Analysis Study to Systematically Address the Critical Role of Human and Organizational Factors in Negative Pressure Test for the Offshore Drilling Industry: Policy Recommendations for HSE Speci…","          168559-MS ","          SPE ","          Conference Paper",2014,"Tabibzadeh, Maryam, University of Southern California","'machine+learning'AND'production'"
"Evaluating the Suitability of Existing Rock Mass Classification Systems for TBM Performance Prediction by using a Regression Tree","          EUROCK-2017-039 ","          ISRM ","          Conference Paper",2017,"Salimi, A., Univesity of Stuttgart","'machine+learning'AND'production'"
"New Method to Estimate Porosity More Accuately From NMR Data With Short Relaxation Times","          2014-V ","          SPWLA ","          Conference Paper",2014,"Venkataramanan, Lalitha, _","'machine+learning'AND'production'"
"An Ensemble Based Nonlinear Orthogonal Matching Pursuit Algorithm for Sparse History Matching of Reservoir Models","          163582-MS ","          SPE ","          Conference Paper",2013,"Elsheikh, Ahmed H., University of Texas at Austin","'machine+learning'AND'production'"
"Improving Gas Storage Development Planning Through Simulation-Optimization","          65639-MS ","          SPE ","          Conference Paper",2000,"Johnson, Virginia M., Lawrence Livermore National Laboratory","'machine+learning'AND'production'"
"Integration of real-time data and past experiences for reducing operational problems","          13969-MS ","          IPTC ","          Conference Paper",2009,"Valipour Shokouhi, Samad, Norwegian U. of Science & Tech","'machine+learning'AND'production'"
"A Systematic Approach on Nuclear Magnetic Resonance Petrophysical Solutions to overcome Reservoir & Fluid Characterization Challenges in Exploration-cum-Fast Appraisal Carbonate Reservoir Field of…","          188198-MS ","          SPE ","          Conference Paper",2017,"Singh, Maniesh, Abu Dhabi Company for Onshore Oil Operations","'machine+learning'AND'production'"
"Measurement and use of Formation Fluid, Saturate, and Aromatic Content, With Wireline Formation Testers","          2015-EE ","          SPWLA ","          Conference Paper",2015,"Jones, Christopher, Halliburton","'machine+learning'AND'production'"
"Reanalysis of Jacket Support Structure for Computer-Aided Optimization of Offshore Wind Turbines with a Genetic Algorithm","          I-14-174 ","          ISOPE ","          Conference Paper",2014,"Schafhirt, Sebastian, Norwegian University of Science and Technology","'machine+learning'AND'production'"
"Wettability Quantification - Prediction of Wettability for Australian Formations","          15230-MS ","          IPTC ","          Conference Paper",2011,"Goda, Hussam Mohammed, Petroperth Consulting Group","'machine+learning'AND'production'"
"Pipeline Network Optimization - Application of Genetic Algorithm Methodologies","          0502 ","          PSIG ","          Conference Paper",2005,"Stoffregen, Jeff, TransCanada PipeLines Limited System Design and Operations","'machine+learning'AND'production'"
"Application of Quantitative Structure-Property Relationship (QSPR) Method for Chemical EOR Surfactant Selection","          164091-MS ","          SPE ","          Conference Paper",2013,"Moreau, Patrick, Solvay","'machine+learning'AND'production'"
"Application of Simulated Annealing and Other Global Optimization Methods to Reservoir Description: Myths and Realities","          28415-MS ","          SPE ","          Conference Paper",1994,"Ouenes, Ahmed, New Mexico Petroleum Recovery Research Center","'machine+learning'AND'production'"
"Data Driven Adaptive Localization With Applications To Ensemble-Based 4D Seismic History Matching","          185936-MS ","          SPE ","          Conference Paper",2017,"Luo, Xiaodong, IRIS","'machine+learning'AND'production'"
"Helicopter Safety in the Oil and Gas Business","          98672-MS ","          SPE ","          Conference Paper",2006,"Clark, Eric,","'machine+learning'AND'production'"
"Data Driven Production Forecasting Using Machine Learning","          180984-MS ","          SPE ","          Conference Paper",2016,"Cao, Q., Schlumberger","'machine+learning'AND'reservoir'"
"Shale Discrimination with Machine Learning Methods","          2017-0769 ","          ARMA ","          Conference Paper",2017,"Hoeink, T., Baker Hughes","'machine+learning'AND'reservoir'"
"Predicting ESP Lifespan With Machine Learning","          2669988-MS ","          URTEC ","          Conference Paper",2017,"Sneed, Jessamyn, Devon Energy Corporation","'machine+learning'AND'reservoir'"
"Machine Learning Methods to Speed up Compositional Reservoir Simulation","          154505-MS ","          SPE ","          Conference Paper",2012,"Gaganis, Vassilis, Technical University of Crete","'machine+learning'AND'reservoir'"
"Selection of EOR/IOR Opportunities Based on Machine Learning","          78332-MS ","          SPE ","          Conference Paper",2002,"Alvarado, Vladimir, PDVSA Intevep","'machine+learning'AND'reservoir'"
"A Machine Learning Approach to Studies of Recovery Efficiency","          22304-MS ","          SPE ","          Conference Paper",1991,"Brown, J.P., Ultimate Resources Inc.","'machine+learning'AND'reservoir'"
"AVA classification as an unsupervised machine-learning problem","          2016-13874419 ","          SEG ","          Conference Paper",2016,"Bougher, Ben, University of British Columbia","'machine+learning'AND'reservoir'"
"Machine Learning Applied to Optimize Duvernay Well Performance","          189823-MS ","          SPE ","          Conference Paper",2018,"Bowie, Braden, Apache Corporation","'machine+learning'AND'reservoir'"
"Using supervised machine learning to distinguish microseismic from noise events","          2017-17727697 ","          SEG ","          Conference Paper",2017,"Zhao, Zhengguang, The University of Queensland","'machine+learning'AND'reservoir'"
"Reservoir Uncertainty Analysis: The Trends from Probability to Algorithms and Machine Learning","          181049-MS ","          SPE ","          Conference Paper",2016,"Ani, Maureen, Robert Gordon University","'machine+learning'AND'reservoir'"
"Ensemble Machine Learning: The Latest Development in Computational Intelligence for Petroleum Reservoir Characterization","          168111-MS ","          SPE ","          Conference Paper",2013,"Anifowose, Fatai A., King Fahd University of Petroleum and Minerals","'machine+learning'AND'reservoir'"
"Modeling Early Time Rate Decline in Unconventional Reservoirs Using Machine Learning Techniques","          188231-MS ","          SPE ","          Conference Paper",2017,"Vyas, Aditya, Texas A&M University","'machine+learning'AND'reservoir'"
"Comparative Analysis of Feature Selection-Based Machine Learning Techniques in Reservoir Characterization","          178006-MS ","          SPE ","          Conference Paper",2015,"Akande, Kabiru O., King Fahd University of Petroleum and Minerals","'machine+learning'AND'reservoir'"
"Machine Learning-Based Optimization of Well Locations and WAG Parameters under Geologic Uncertainty","          190239-MS ","          SPE ","          Conference Paper",2018,"Nwachukwu, Azor, The University of Texas at Austin","'machine+learning'AND'reservoir'"
"Machine Learning Applied to Multiwell Test Analysis and Flow Rate Reconstruction","          175059-MS ","          SPE ","          Conference Paper",2015,"Tian, Chuan, Stanford University","'machine+learning'AND'reservoir'"
"Infill Well Location Selection Procedures in Lost Hills Using Machine Learning","          190101-MS ","          SPE ","          Conference Paper",2018,"Kim, T. H., Chevron","'machine+learning'AND'reservoir'"
"Using Machine Learning to Predict Production at a Peace River Thermal EOR Site","          182696-MS ","          SPE ","          Conference Paper",2017,"Martin, Eileen, Stanford University","'machine+learning'AND'reservoir'"
"Decline Curve Analysis for Production Forecasting Based on Machine Learning","          189205-MS ","          SPE ","          Conference Paper",2017,"Li, Yunan, Texas A&M University","'machine+learning'AND'reservoir'"
"EUR Assessment of Unconventional Assets Using Machine Learning and Distributed Computing Techniques","          2659996-MS ","          URTEC ","          Conference Paper",2017,"Guo, Zhenyu, Shell International Exploration & Production Inc.","'machine+learning'AND'reservoir'"
"Machine Learning as a Reliable Technology for Evaluating Time-Rate Performance of Unconventional Wells","          174784-MS ","          SPE ","          Conference Paper",2015,"Fulford, David S., Apache Corporation","'machine+learning'AND'reservoir'"
"A Machine Learning Approach to Optimize Shale Gas Supply Chain Networks","          187361-MS ","          SPE ","          Conference Paper",2017,"Asala, H. I., Louisiana State University","'machine+learning'AND'reservoir'"
"Inverse Modeling for Fluid System Characterization Through Machine Learning Algorithms","          180034-MS ","          SPE ","          Conference Paper",2016,"Tarrahi, Mohammadali, Shell","'machine+learning'AND'reservoir'"
"Detecting Failures and Optimizing Performance in Artificial Lift Using Machine Learning Models","          190090-MS ","          SPE ","          Conference Paper",2018,"Pennel, Mike, OspreyData Inc.","'machine+learning'AND'reservoir'"
"Prediction of PVT Properties in Crude Oil Using Machine Learning Techniques MLT","          185536-MS ","          SPE ","          Conference Paper",2017,"Ramirez, A. M., Universidad Nacional de Ingenieria","'machine+learning'AND'reservoir'"
"Machine Learning Application for Wellbore Damage Removal in the Wilmington Field","          190037-MS ","          SPE ","          Conference Paper",2018,"Kellogg, R. P., California Resources Corporation","'machine+learning'AND'reservoir'"
"Geobody interpretation through multiattribute surveys, natural clusters, and machine learning","          2017-17790202 ","          SEG ","          Conference Paper",2017,"Smith, Thomas, Geophysical Insights","'machine+learning'AND'reservoir'"
"Machine Learning Approach for Irregularity Detection in Dynamic Operating Conditions","          181435-MS ","          SPE ","          Conference Paper",2016,"Sidahmed, Mohamed, BP America Production Company","'machine+learning'AND'reservoir'"
"Machine Learning Leads Cost Effective Intelligent Fluid Design: Fluid Engineering Perspective","          180033-MS ","          SPE ","          Conference Paper",2016,"Shadravan, Arash, Reservoir Focus Llc","'machine+learning'AND'reservoir'"
"Intelligent Tool to Design Fracturing, Drilling, Spacer and Cement Slurry Fluids Using Machine Learning Algorithms","          175238-MS ","          SPE ","          Conference Paper",2015,"Shadravan, Arash, ReservoirFocus","'machine+learning'AND'reservoir'"
"A growing machine learning approach to optimize use of prestack and poststack seismic data","          2017-17767532 ","          SEG ","          Conference Paper",2017,"Hami-Eddine, Kamal, Paradigm","'machine+learning'AND'reservoir'"
"Image Processing and Machine Learning Approaches for Petrographic Thin Section Analysis (Russian)","          187885-RU ","          SPE ","          Conference Paper",2017,"Budennyy, Semen, Center for Engineering and Technology of Moscow Institute of Physics and Technology","'machine+learning'AND'reservoir'"
"Image Processing and Machine Learning Approaches for Petrographic Thin Section Analysis","          187885-MS ","          SPE ","          Conference Paper",2017,"Budennyy, Semen, Center for Engineering and Technology of Moscow Institute of Physics and Technology","'machine+learning'AND'reservoir'"
"Intelligent Cement Design: Utilizing Machine Learning Algorithms to Assure Effective Long-term Well Integrity","          440236-MS ","          CMTC ","          Conference Paper",2015,"Shadravan, Arash, ReservoirFocus LLC","'machine+learning'AND'reservoir'"
"Predicting Sweet Spots in Shale Plays by DNA Fingerprinting and Machine Learning","          2671117-MS ","          URTEC ","          Conference Paper",2017,"Te Stroet, Chris, Biodentify","'machine+learning'AND'reservoir'"
"Integration of PCA with a Novel Machine Learning Method for Reparameterization and Assisted History Matching Geologically Complex Reservoirs","          175038-MS ","          SPE ","          Conference Paper",2015,"Honorio, Jean, MIT","'machine+learning'AND'reservoir'"
"Enhancing Rock Property Prediction from Conventional Well Logs Using Machine Learning Technique - Case Studies of Conventional and Unconventional Reservoirs","          183106-MS ","          SPE ","          Conference Paper",2016,"Negara, Ardiansyah, Baker Hughes","'machine+learning'AND'reservoir'"
"Applying Machine Learning Techniques to Interpret Flow Rate, Pressure and Temperature Data From Permanent Downhole Gauges","          174034-MS ","          SPE ","          Conference Paper",2015,"Tian, Chuan, Stanford University","'machine+learning'AND'reservoir'"
"Study on the Classification and Formation Mechanism of Microscopic Remaining Oil in High Water Cut Stage Based on Machine Learning","          188228-MS ","          SPE ","          Conference Paper",2017,"Zhao, Yuyun, China University of Petroleum","'machine+learning'AND'reservoir'"
"Data-Based Smart Model for Real Time Liquid Loading Diagnostics in Marcellus Shale via Machine Learning","          189808-MS ","          SPE ","          Conference Paper",2018,"Ansari, Amir, Department of Petroleum and Natural Gas Engineering, West Virginia University","'machine+learning'AND'reservoir'"
"Horizontal Shale Well EUR Determination Integrating Geology, Machine Learning, Pattern Recognition and MultiVariate Statistics Focused on the Permian Basin","          187494-MS ","          SPE ","          Conference Paper",2017,"Gaurav, Abhishek, Texas Standard Oil LLC","'machine+learning'AND'reservoir'"
"Redistribution of Steam Injection in Heavy Oil Reservoir Management to Improve EOR Economics, Powered by a Unique Integration of Reservoir Physics and Machine Learning","          185507-MS ","          SPE ","          Conference Paper",2017,"Sarma, Pallav, Tachyus Inc.","'machine+learning'AND'reservoir'"
"A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms","          176725-MS ","          SPE ","          Conference Paper",2015,"Tarrahi, Mohammadali, Texas A&M University, Irina Surovets, SPD","'machine+learning'AND'reservoir'"
"Normalized Depths as Key Input and Detailed QC Steps for Improved Permeability Predictions Using Existing Machine Learning Techniques","          188493-MS ","          SPE ","          Conference Paper",2017,"Voleti, Deepak Kumar, Abu Dhabi Company for Onshore Petroleum operations Ltd.","'machine+learning'AND'reservoir'"
"A Novel Automated and Probabilistic EOR Screening Method to Integrate Theoretical Screening Criteria and Real Field EOR Practices Using Machine Learning Algorithms (Russian)","          176725-RU ","          SPE ","          Conference Paper",2015,"Tarrahi, Mohammadali, Texas A&M University, Irina Surovets, SPD","'machine+learning'AND'reservoir'"
"High Resolution Seismic Data Derived From Prestack Inversion and Machine Learning to Accurately Position Horizontal Wells in the Midland Basin, Texas","          2695422-MS ","          URTEC ","          Conference Paper",2017,"Meek, Robert, Pioneer Natural Resources","'machine+learning'AND'reservoir'"
"Using Machine Learning to Identify the Highest Wet Gas Producing Mix of Hydraulic Fracture Classes and Technology Improvements in the Marcellus Shale","          2430481-MS ","          URTEC ","          Conference Paper",2016,"Anderson, Roger N., AKW Analytics Inc","'machine+learning'AND'reservoir'"
"The Rise of the Machines, Analytics, and the Digital Oilfield: Artificial Intelligence in the Age of Machine Learning and Cognitive Analytics","          2668073-MS ","          URTEC ","          Conference Paper",2017,"Ball, Kathryn, Devon Energy","'machine+learning'AND'reservoir'"
"A Rule Induction Algorithm for Application to Petrophysical, Seismic, Geological and Reservoir Data","          68818-MS ","          SPE ","          Conference Paper",2001,"Deutsch, Clayton V., University of Alberta","'machine+learning'AND'reservoir'"
"Next Generation Downhole Big Data Platform for Dynamic Data-Driven Well and Reservoir Management","          186033-MS ","          SPE ","          Conference Paper",2017,"Bello, Oladele, Baker Hughes Incorporated","'machine+learning'AND'reservoir'"
"Reservoir Property Prediction Using the Dynamic Radial Basis Function Network","          2011-1754 ","          SEG ","          Conference Paper",2011,"Li, Lei, BGP, CNPC","'machine+learning'AND'reservoir'"
"Identification of Reservoir Analogues in the Presence of Uncertainty","          167811-MS ","          SPE ","          Conference Paper",2014,"Perez-Valiente, M.L., Repsol","'machine+learning'AND'reservoir'"
"Improved Reservoir Fluid Modeling Using Optimized Flash Calculations","          184317-MS ","          SPE ","          Conference Paper",2016,"Ogali, Oscar I. O., Department of Petroleum and Natural Gas Engineering, Federal University of Petroleum Resources","'machine+learning'AND'reservoir'"
"Integrated Multi-Scale Reservoir Characterization: Wolfcamp Formation - Midland Basin","          2670796-MS ","          URTEC ","          Conference Paper",2017,"Walls, Joel, Ingrain","'machine+learning'AND'reservoir'"
"Fast Integrated Reservoir Modelling on the Gjøa Field Offshore Norway","          188557-MS ","          SPE ","          Conference Paper",2017,"Sætrom, Jon, Resoptima AS","'machine+learning'AND'reservoir'"
"Multi-Scale Rock Imaging for Reservoir Characterization: A Wolfcamp Case Study","          2459751-MS ","          URTEC ","          Conference Paper",2016,"Morcote, Anyela, Ingrain Inc.","'machine+learning'AND'reservoir'"
"Pattern-Based History Matching for Reservoirs with Complex Geologic Facies","          190128-MS ","          SPE ","          Conference Paper",2018,"Golmohammadi, A., University of Southern California","'machine+learning'AND'reservoir'"
"Approximations of Primary, Secondary and Tertiary Recovery Factor in Viscous and Heavy Oil Reservoirs","          166583-MS ","          SPE ","          Conference Paper",2013,"Kaczmarczyk, Rafael, Imperial College","'machine+learning'AND'reservoir'"
"The Gaussian Process Regression for TOC Estimation Using Wireline Logs in Shale Gas Reservoirs","          18636-MS ","          IPTC ","          Conference Paper",2016,"Yu, Hongyan, Shaanxi Key Laboratory of Exploration And Comprehensive Utilization of Mineral resources, State Key Laboratory of Continental Dynamics, Geology Department of Northwest University, Research Institute of BEG, CNPC","'machine+learning'AND'reservoir'"
"Functional Approach to Data Mining, Forecasting, and Uncertainty Quantification in Unconventional Reservoirs","          174849-MS ","          SPE ","          Conference Paper",2015,"Grujic, Ognjen, Stanford University","'machine+learning'AND'reservoir'"
"Practical Application of Data-Driven Modeling Approach during Waterflooding Operations in Heterogeneous Reservoirs","          174031-MS ","          SPE ","          Conference Paper",2015,"Amirian, Ehsan, University of Calgary","'machine+learning'AND'reservoir'"
"Uncertainty Reduction In Reservoir Modeling By Joint Inversion of Seismic & Geo-Statistics","          2008-0829 ","          SEG ","          Conference Paper",2008,"Casey, Matthew S., Colorado School of Mines","'machine+learning'AND'reservoir'"
"A Model Segmentation from Spectral Clustering: New Zonation algorithm and Application to Reservoir History Matching","          170757-MS ","          SPE ","          Conference Paper",2014,"Kang, Suksang, Texas A&M University","'machine+learning'AND'reservoir'"
"A Benchmarking Study of a Novel Data Physics Technology for Steamflood and SAGD Modeling: Comparison to Conventional Reservoir Simulation","          189772-MS ","          SPE ","          Conference Paper",2018,"Zhao, Yong, Tachyus Corp.","'machine+learning'AND'reservoir'"
"Injection Allocation in Multi-Layer Water Flooding Reservoirs Using SVM Optimized by Genetic Algorithm","          19006-MS ","          IPTC ","          Conference Paper",2016,"Li, Junjian, China University of Petroleum","'machine+learning'AND'reservoir'"
"Sampling From the Posterior in Reservoir Simulation","          188892-MS ","          SPE ","          Conference Paper",2017,"Ramirez, B. A., Shell International Exploration and Production Inc.","'machine+learning'AND'reservoir'"
"Need for Speed: Data Analytics Coupled to Reservoir Characterization Fast Tracks Well Completion Optimization","          189790-MS ","          SPE ","          Conference Paper",2018,"Pankaj, Piyush, Schlumberger","'machine+learning'AND'reservoir'"
"Permeability Prediction in a Heterogeneous Reservoir Using Soft Computing Technologies","          190078-MS ","          SPE ","          Conference Paper",2018,"Zhao, Xiaoxi, University of Southern California","'machine+learning'AND'reservoir'"
"Using Data Analytics to Analyze Reservoir Databases","          174900-MS ","          SPE ","          Conference Paper",2015,"Lee, Brian B., The University of Texas at Austin","'machine+learning'AND'reservoir'"
"Smart Proxy: An Innovative Reservoir Management Tool; Case Study of a Giant Mature Oilfield in the UAE","          177829-MS ","          SPE ","          Conference Paper",2015,"Mohaghegh, S. D., Intelligent Solutions, Inc. & West Virginia University","'machine+learning'AND'reservoir'"
"Data-Driven Reservoir Management of a Giant Mature Oilfield in the Middle East","          170660-MS ","          SPE ","          Conference Paper",2014,"Mohaghegh, Shahab D., West Virginia University","'machine+learning'AND'reservoir'"
"Application of Data Mining Tools for Analysis and Prediction of Hydraulic Fracturing Efficiency for the BV8 Reservoir of the Povkh Oil Field","          171332-MS ","          SPE ","          Conference Paper",2014,"Alimkhanov, Rustam, Lukoil-Engineering Ltd.","'machine+learning'AND'reservoir'"
"Application of Data Mining Tools for Analysis and Prediction of Hydraulic Fracturing Efficiency for the BV8 Reservoir of the Povkh Oil Field (Russian)","          171332-RU ","          SPE ","          Conference Paper",2014,"Alimkhanov, Rustam, Lukoil-Engineering Ltd.","'machine+learning'AND'reservoir'"
"An Integrated Application of Cluster Analysis and Artificial Neural Networks for SAGD Recovery Performance Prediction in Heterogeneous Reservoirs","          170113-MS ","          SPE ","          Conference Paper",2014,"Amirian, Ehsan, University of Alberta","'machine+learning'AND'reservoir'"
"Gaussian Process for Uncertainty Quantification of Reservoir Models","          176074-MS ","          SPE ","          Conference Paper",2015,"Hamdi, Hamidreza, University of Calgary","'machine+learning'AND'reservoir'"
"Use of Data Analytics to Improve Well Placement Optimization Under Uncertainty","          188265-MS ","          SPE ","          Conference Paper",2017,"Busby, Daniel, Total SA","'machine+learning'AND'reservoir'"
"Applying Subsurface DNA Diagnostics and Data Science in the Delaware Basin","          189846-MS ","          SPE ","          Conference Paper",2018,"Silva, J., Anadarko Petroleum Corporation","'machine+learning'AND'reservoir'"
"Do Data Mining Methods Matter?: A Wolfcamp Shale Case Study","          173334-MS ","          SPE ","          Conference Paper",2015,"Zhong, Ming, Baker Hughes","'machine+learning'AND'reservoir'"
"Unsupervised Statistical Learning with Integrated Pattern-Based Geostatistical Simulation","          190087-MS ","          SPE ","          Conference Paper",2018,"Li, Q., University of Calgary","'machine+learning'AND'reservoir'"
"An Improved Model to Predict Reservoir Characteristics During Underbalanced Drilling","          84176-MS ","          SPE ","          Conference Paper",2003,"Biswas, D., Blade Energy Partners","'machine+learning'AND'reservoir'"
"Microseismic cluster analysis and in-situ stress inversion: A case study from the Cardium Formation, west central Alberta, Canada","          2017-17537960 ","          SEG ","          Conference Paper",2017,"Zhang, Xiaolin, Schlumberger","'machine+learning'AND'reservoir'"
"Prediction of Reservoir Water Saturation Using Support Vector Regression in an Iranian Carbonate Reservoir","          2013-311 ","          ARMA ","          Conference Paper",2013,"Mollajan, A., University of Tehran","'machine+learning'AND'reservoir'"
"Reservoir Geostatistical Estimation of Imprecise Information Using Fuzzy Kriging Approach","          190051-MS ","          SPE ","          Conference Paper",2018,"Zhao, X., University of Southern California","'machine+learning'AND'reservoir'"
"A Novel Approach to Identify Reservoir Analogues","          78338-MS ","          SPE ","          Conference Paper",2002,"Bhushan, Vikas, Shell International Exploration and Production","'machine+learning'AND'reservoir'"
"Reservoir to Surface: An Effective Combination to Unlock Oil Reserves From Aging Reservoirs","          131990-MS ","          SPE ","          Conference Paper",2010,"Moreno, J., Schlumberger","'machine+learning'AND'reservoir'"
"Reservoir Simulation Assisted History Matching: From Theory to Design","          182808-MS ","          SPE ","          Conference Paper",2016,"Shams, M., Amal Petroleum Company","'machine+learning'AND'reservoir'"
"Seismic interpretation in the age of big data","          2016-13612308 ","          SEG ","          Conference Paper",2016,"Roden, Rocky, Geophysical Insights","'machine+learning'AND'reservoir'"
"Data Analytics for Production Optimization in Unconventional Reservoirs","          2167005-MS ","          URTEC ","          Conference Paper",2015,"Schuetter, Jared, Battelle Memorial Institute","'machine+learning'AND'reservoir'"
"Recurrent Neural Networks for Permanent Downhole Gauge Data Analysis","          187181-MS ","          SPE ","          Conference Paper",2017,"Tian, Chuan, Stanford University","'machine+learning'AND'reservoir'"
"A Holistic Approach to EOR Screening in Dual-Porosity Naturally Fractured Reservoirs","          174577-MS ","          SPE ","          Conference Paper",2015,"Moreno, Jaime E., Schlumberger","'machine+learning'AND'reservoir'"
"Development of Automatic System for Decline Analysis","          187755-MS ","          SPE ","          Conference Paper",2017,"Kotezhekov, V., Gazpromneft NTC LLC","'machine+learning'AND'reservoir'"
"Development of Automatic System for Decline Analysis (Russian)","          187755-RU ","          SPE ","          Conference Paper",2017,"Kotezhekov, V., Gazpromneft NTC LLC","'machine+learning'AND'reservoir'"
"Hierarchical Geological Realism for Reliable Reservoir Predictions","          184495-STU ","          SPE ","          Conference Paper",2016,"Kuznetsova, Alexandra, Heriot-Watt University","'machine+learning'AND'reservoir'"
"Application of AVF Inversion on Shale Gas Reservoir TOC Prediction","          2015-5839884 ","          SEG ","          Conference Paper",2015,"Ding, Jicaim, CNOOC Research Institute","'machine+learning'AND'reservoir'"
"A New Approach to Reservoir Characterization Using Deep Learning Neural Networks","          180359-MS ","          SPE ","          Conference Paper",2016,"Korjani, M., University of Southern California","'machine+learning'AND'reservoir'"
"Fluid Type Identification in Carbonate Reservoir Using Advanced Statistical Analysis","          185447-MS ","          SPE ","          Conference Paper",2017,"Yu, Hongyan, Shaanxi Key Laboratory of Exploration And Comprehensive Utilization of Mineral resources, State Key Laboratory of Continental Dynamics, Geology Department of Northwest University, Research Institute of BEG, CNPC","'machine+learning'AND'reservoir'"
"Integrated Global Optimization of Displacement Efficiency in Hydrocarbon Reservoirs","          81035-MS ","          SPE ","          Conference Paper",2003,"Yang, Daoyong, University of Regina","'machine+learning'AND'reservoir'"
"Unlocking Fast Reservoir Predictions via Nonintrusive Reduced-Order Models","          163584-MS ","          SPE ","          Conference Paper",2013,"Klie, Hector, ConocoPhilips","'machine+learning'AND'reservoir'"
